sample_id,predicted_cell_type,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),GAGE,GAGE12C,598,0,0.0,-0.0245886937358724
mtab_tumors,Neutrophil,GAGE,GAGE12C,515,4,0.007766990291262136,0.05327218932227031
mtab_tumors,Granulosa cell,GAGE,GAGE12C,198,0,0.0,-0.024588693735872403
mtab_tumors,Fibroblast,GAGE,GAGE12C,1260,5,0.003968253968253968,0.00986791959518767
mtab_tumors,Endothelial cell,GAGE,GAGE12C,519,0,0.0,-0.024588693735872403
mtab_tumors,Myeloid cell,GAGE,GAGE12C,639,1,0.001564945226917058,-0.008900761507803738
mtab_tumors,Progenitor cell,GAGE,GAGE12C,237,0,0.0,-0.024588693735872406
mtab_tumors,Epithelial cell,GAGE,GAGE12C,1431,1,0.0006988120195667365,-0.017583390665476963
mtab_tumors,Natural killer cell,GAGE,GAGE12C,1427,5,0.00350385423966363,0.008525760273107846
mtab_tumors,Cycling cell,GAGE,GAGE12C,351,1,0.002849002849002849,0.003971388012662853
mtab_tumors,Pre-tubular aggregate cell,GAGE,GAGE12C,1809,0,0.0,-0.024588693735872406
mtab_tumors,Granulocyte,GAGE,GAGE12C,2271,0,0.0,-0.024588693735872403
mtab_tumors,Proliferative cell,GAGE,GAGE12E,2062,0,0.0,-0.024588693735872406
mtab_tumors,Pericyte,GAGE,GAGE12E,1216,0,0.0,-0.024588693735872403
mtab_tumors,Columnar epithelial cell,GAGE,GAGE12E,1701,0,0.0,-0.024588693735872406
mtab_tumors,Meiotic prophase fetal germ cell,GAGE,GAGE12E,1730,0,0.0,-0.024588693735872406
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),GAGE,GAGE12E,598,0,0.0,-0.0245886937358724
mtab_tumors,Neutrophil,GAGE,GAGE12E,515,4,0.007766990291262136,0.05327218932227031
mtab_tumors,Granulosa cell,GAGE,GAGE12E,198,0,0.0,-0.024588693735872403
mtab_tumors,Fibroblast,GAGE,GAGE12E,1260,5,0.003968253968253968,0.00986791959518767
mtab_tumors,Endothelial cell,GAGE,GAGE12E,519,0,0.0,-0.024588693735872403
mtab_tumors,Myeloid cell,GAGE,GAGE12E,639,1,0.001564945226917058,-0.008900761507803738
mtab_tumors,Progenitor cell,GAGE,GAGE12E,237,0,0.0,-0.024588693735872406
mtab_tumors,Epithelial cell,GAGE,GAGE12E,1431,1,0.0006988120195667365,-0.017583390665476963
mtab_tumors,Natural killer cell,GAGE,GAGE12E,1427,5,0.00350385423966363,0.008525760273107846
mtab_tumors,Cycling cell,GAGE,GAGE12E,351,1,0.002849002849002849,0.003971388012662853
mtab_tumors,Pre-tubular aggregate cell,GAGE,GAGE12E,1809,0,0.0,-0.024588693735872406
mtab_tumors,Granulocyte,GAGE,GAGE12E,2271,0,0.0,-0.024588693735872403
mtab_tumors,Proliferative cell,GAGE,GAGE12F,2062,0,0.0,-0.03203239710169438
mtab_tumors,Pericyte,GAGE,GAGE12F,1216,0,0.0,-0.032032397101694386
mtab_tumors,Columnar epithelial cell,GAGE,GAGE12F,1701,0,0.0,-0.03203239710169438
mtab_tumors,Meiotic prophase fetal germ cell,GAGE,GAGE12F,1730,0,0.0,-0.03203239710169438
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),GAGE,GAGE12F,598,0,0.0,-0.032032397101694386
mtab_tumors,Neutrophil,GAGE,GAGE12F,515,8,0.015533980582524271,0.11883969093164079
mtab_tumors,Granulosa cell,GAGE,GAGE12F,198,0,0.0,-0.03203239710169438
mtab_tumors,Fibroblast,GAGE,GAGE12F,1260,5,0.003968253968253968,-0.012447275612076768
mtab_tumors,Endothelial cell,GAGE,GAGE12F,519,0,0.0,-0.032032397101694386
mtab_tumors,Myeloid cell,GAGE,GAGE12F,639,1,0.001564945226917058,-0.0163328158855728
mtab_tumors,Progenitor cell,GAGE,GAGE12F,237,2,0.008438818565400843,0.052626104139670116
mtab_tumors,Epithelial cell,GAGE,GAGE12F,1431,4,0.002795248078266946,-0.006935052265107724
mtab_tumors,Natural killer cell,GAGE,GAGE12F,1427,7,0.004905395935529082,0.0037064214011076077
mtab_tumors,Cycling cell,GAGE,GAGE12F,351,1,0.002849002849002849,-0.0034511082210627784
mtab_tumors,Pre-tubular aggregate cell,GAGE,GAGE12F,1809,0,0.0,-0.03203239710169438
mtab_tumors,Granulocyte,GAGE,GAGE12F,2271,0,0.0,-0.03203239710169439
mtab_tumors,Proliferative cell,GAGE,GAGE12J,2062,0,0.0,-0.017995586013476415
mtab_tumors,Pericyte,GAGE,GAGE12J,1216,0,0.0,-0.01799558601347642
mtab_tumors,Columnar epithelial cell,GAGE,GAGE12J,1701,0,0.0,-0.017995586013476422
mtab_tumors,Meiotic prophase fetal germ cell,GAGE,GAGE12J,1730,0,0.0,-0.01799558601347642
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),GAGE,GAGE12J,598,0,0.0,-0.017995586013476415
mtab_tumors,Neutrophil,GAGE,GAGE12J,515,0,0.0,-0.01799558601347642
mtab_tumors,Granulosa cell,GAGE,GAGE12J,198,0,0.0,-0.01799558601347642
mtab_tumors,Fibroblast,GAGE,GAGE12J,1260,4,0.0031746031746031746,0.010007433384933366
mtab_tumors,Endothelial cell,GAGE,GAGE12J,519,0,0.0,-0.017995586013476415
mtab_tumors,Myeloid cell,GAGE,GAGE12J,639,0,0.0,-0.01799558601347642
mtab_tumors,Progenitor cell,GAGE,GAGE12J,237,0,0.0,-0.01799558601347642
mtab_tumors,Epithelial cell,GAGE,GAGE12J,1431,4,0.002795248078266946,0.010007196896414496
mtab_tumors,Natural killer cell,GAGE,GAGE12J,1427,2,0.001401541695865452,-0.00395494749068248
mtab_tumors,Cycling cell,GAGE,GAGE12J,351,1,0.002849002849002849,0.010545711952373927
mtab_tumors,Pre-tubular aggregate cell,GAGE,GAGE12J,1809,0,0.0,-0.01799558601347642
mtab_tumors,Granulocyte,GAGE,GAGE12J,2271,0,0.0,-0.01799558601347642
mtab_tumors,Proliferative cell,GAGE,GAGE13,2062,0,0.0,-0.017995586013476415
mtab_tumors,Pericyte,GAGE,GAGE13,1216,0,0.0,-0.01799558601347642
mtab_tumors,Columnar epithelial cell,GAGE,GAGE13,1701,0,0.0,-0.017995586013476422
mtab_tumors,Meiotic prophase fetal germ cell,GAGE,GAGE13,1730,0,0.0,-0.01799558601347642
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),GAGE,GAGE13,598,0,0.0,-0.017995586013476415
mtab_tumors,Neutrophil,GAGE,GAGE13,515,0,0.0,-0.01799558601347642
mtab_tumors,Granulosa cell,GAGE,GAGE13,198,0,0.0,-0.01799558601347642
mtab_tumors,Fibroblast,GAGE,GAGE13,1260,4,0.0031746031746031746,0.010007433384933366
mtab_tumors,Endothelial cell,GAGE,GAGE13,519,0,0.0,-0.017995586013476415
mtab_tumors,Myeloid cell,GAGE,GAGE13,639,0,0.0,-0.01799558601347642
mtab_tumors,Progenitor cell,GAGE,GAGE13,237,0,0.0,-0.01799558601347642
mtab_tumors,Epithelial cell,GAGE,GAGE13,1431,4,0.002795248078266946,0.010007196896414496
mtab_tumors,Natural killer cell,GAGE,GAGE13,1427,2,0.001401541695865452,-0.00395494749068248
mtab_tumors,Cycling cell,GAGE,GAGE13,351,1,0.002849002849002849,0.010545711952373927
mtab_tumors,Pre-tubular aggregate cell,GAGE,GAGE13,1809,0,0.0,-0.01799558601347642
mtab_tumors,Granulocyte,GAGE,GAGE13,2271,0,0.0,-0.01799558601347642
mtab_tumors,Proliferative cell,HSPB9,HSPB9,2062,1,0.00048496605237633366,-0.017727588953183614
mtab_tumors,Pericyte,HSPB9,HSPB9,1216,0,0.0,-0.022588203989065796
mtab_tumors,Columnar epithelial cell,HSPB9,HSPB9,1701,1,0.0005878894767783657,-0.016696029853857645
mtab_tumors,Meiotic prophase fetal germ cell,HSPB9,HSPB9,1730,1,0.0005780346820809249,-0.01679480040294495
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),HSPB9,HSPB9,598,0,0.0,-0.022588203989065792
mtab_tumors,Neutrophil,HSPB9,HSPB9,515,0,0.0,-0.0225882039890658
mtab_tumors,Granulosa cell,HSPB9,HSPB9,198,2,0.010101010101010102,0.07865006069769244
mtab_tumors,Fibroblast,HSPB9,HSPB9,1260,0,0.0,-0.022588203989065796
mtab_tumors,Endothelial cell,HSPB9,HSPB9,519,1,0.0019267822736030828,-0.0032768587019963145
mtab_tumors,Myeloid cell,HSPB9,HSPB9,639,0,0.0,-0.022588203989065796
mtab_tumors,Progenitor cell,HSPB9,HSPB9,237,0,0.0,-0.022588203989065803
mtab_tumors,Epithelial cell,HSPB9,HSPB9,1431,0,0.0,-0.022588203989065796
mtab_tumors,Natural killer cell,HSPB9,HSPB9,1427,1,0.000700770847932726,-0.015564666354875845
mtab_tumors,Cycling cell,HSPB9,HSPB9,351,0,0.0,-0.022588203989065803
mtab_tumors,Pre-tubular aggregate cell,HSPB9,HSPB9,1809,2,0.001105583195135434,-0.011507398898972862
mtab_tumors,Granulocyte,HSPB9,HSPB9,2271,2,0.0008806693086745927,-0.013761618164328618
mtab_tumors,Proliferative cell,IL13RA,IL13RA2,2062,4,0.0019398642095053346,-0.14620668171703005
mtab_tumors,Pericyte,IL13RA,IL13RA2,1216,45,0.03700657894736842,0.10263597734634575
mtab_tumors,Columnar epithelial cell,IL13RA,IL13RA2,1701,2,0.0011757789535567313,-0.15007590487402545
mtab_tumors,Meiotic prophase fetal germ cell,IL13RA,IL13RA2,1730,98,0.056647398843930635,0.16444037590432428
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),IL13RA,IL13RA2,598,3,0.005016722408026756,-0.13382348837599173
mtab_tumors,Neutrophil,IL13RA,IL13RA2,515,4,0.007766990291262136,-0.11776446909623442
mtab_tumors,Granulosa cell,IL13RA,IL13RA2,198,8,0.04040404040404041,-0.02404292373122232
mtab_tumors,Fibroblast,IL13RA,IL13RA2,1260,152,0.12063492063492064,0.4053853685707563
mtab_tumors,Endothelial cell,IL13RA,IL13RA2,519,62,0.11946050096339114,0.3997260031465027
mtab_tumors,Myeloid cell,IL13RA,IL13RA2,639,3,0.004694835680751174,-0.1307235282468989
mtab_tumors,Progenitor cell,IL13RA,IL13RA2,237,5,0.02109704641350211,-0.07313819594691968
mtab_tumors,Epithelial cell,IL13RA,IL13RA2,1431,0,0.0,-0.1544970739512039
mtab_tumors,Natural killer cell,IL13RA,IL13RA2,1427,1,0.000700770847932726,-0.15327903106763036
mtab_tumors,Cycling cell,IL13RA,IL13RA2,351,1,0.002849002849002849,-0.14226777212857503
mtab_tumors,Pre-tubular aggregate cell,IL13RA,IL13RA2,1809,1,0.000552791597567717,-0.15259450324789325
mtab_tumors,Granulocyte,IL13RA,IL13RA2,2271,108,0.047556142668428,0.17568841020289053
mtab_tumors,Proliferative cell,LY6K,LY6K,2062,825,0.40009699321047526,-0.17373708444043814
mtab_tumors,Pericyte,LY6K,LY6K,1216,24,0.019736842105263157,-0.6960456675956526
mtab_tumors,Columnar epithelial cell,LY6K,LY6K,1701,480,0.2821869488536155,-0.3361305830735314
mtab_tumors,Meiotic prophase fetal germ cell,LY6K,LY6K,1730,1280,0.7398843930635838,0.9121964669279434
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),LY6K,LY6K,598,308,0.5150501672240803,0.06937557017331243
mtab_tumors,Neutrophil,LY6K,LY6K,515,34,0.06601941747572816,-0.6329074089959318
mtab_tumors,Granulosa cell,LY6K,LY6K,198,54,0.2727272727272727,-0.39976139719236153
mtab_tumors,Fibroblast,LY6K,LY6K,1260,204,0.1619047619047619,-0.4943056982087283
mtab_tumors,Endothelial cell,LY6K,LY6K,519,187,0.3603082851637765,-0.1841378085386051
mtab_tumors,Myeloid cell,LY6K,LY6K,639,17,0.026604068857589983,-0.6939009759578826
mtab_tumors,Progenitor cell,LY6K,LY6K,237,18,0.0759493670886076,-0.6474290746958918
mtab_tumors,Epithelial cell,LY6K,LY6K,1431,659,0.4605171208944794,-0.04966197861923834
mtab_tumors,Natural killer cell,LY6K,LY6K,1427,615,0.4309740714786265,-0.028493760658341857
mtab_tumors,Cycling cell,LY6K,LY6K,351,182,0.5185185185185185,0.10971379577933041
mtab_tumors,Pre-tubular aggregate cell,LY6K,LY6K,1809,713,0.3941404090657822,-0.18622637460096295
mtab_tumors,Granulocyte,LY6K,LY6K,2271,1614,0.7107001321003963,1.0071537160551793
mtab_tumors,Proliferative cell,MAGEA,MAGEA4,2062,0,0.0,-0.14676655032553887
mtab_tumors,Pericyte,MAGEA,MAGEA4,1216,0,0.0,-0.14676655032553884
mtab_tumors,Columnar epithelial cell,MAGEA,MAGEA4,1701,0,0.0,-0.14676655032553884
mtab_tumors,Meiotic prophase fetal germ cell,MAGEA,MAGEA4,1730,165,0.0953757225433526,0.4047951278536096
mtab_tumors,Recent bone marrow B-cell emigrant(RBE),MAGEA,MAGEA4,598,0,0.0,-0.14676655032553884
mtab_tumors,Neutrophil,MAGEA,MAGEA4,515,0,0.0,-0.14676655032553887
mtab_tumors,Granulosa cell,MAGEA,MAGEA4,198,0,0.0,-0.14676655032553887
mtab_tumors,Fibroblast,MAGEA,MAGEA4,1260,6,0.004761904761904762,-0.12790032702452833
mtab_tumors,Endothelial cell,MAGEA,MAGEA4,519,12,0.023121387283236993,-0.05623561009958927
mtab_tumors,Myeloid cell,MAGEA,MAGEA4,639,0,0.0,-0.14676655032553884
mtab_tumors,Progenitor cell,MAGEA,MAGEA4,237,0,0.0,-0.14676655032553879
mtab_tumors,Epithelial cell,MAGEA,MAGEA4,1431,1,0.0006988120195667365,-0.1438959159745714
mtab_tumors,Natural killer cell,MAGEA,MAGEA4,1427,2,0.001401541695865452,-0.14002494858058356
mtab_tumors,Cycling cell,MAGEA,MAGEA4,351,0,0.0,-0.14676655032553884
mtab_tumors,Pre-tubular aggregate cell,MAGEA,MAGEA4,1809,0,0.0,-0.14676655032553887
mtab_tumors,Granulocyte,MAGEA,MAGEA4,2271,232,0.10215763980625275,0.5539007987624293
mtab_tumors,Proliferative cell,PAGE-5,PAGE2,2062,0,0.0,-0.012121252486995663
mtab_tumors,Pericyte,PAGE-5,PAGE2,1216,0,0.0,-0.012121252486995662
mtab_tumors,Columnar epithelial cell,PAGE-5,PAGE2,1701,0,0.0,-0.012121252486995663
