sample_id,gene_family,gene,n_cells,n_positive_cells,frac_positive_cells,mean_expression
mtab_tumors,PBK,PBK,17964,0,0.0,0.0
mtab_tumors,PEPP2,PEPP2,17964,0,0.0,0.0
mtab_tumors,PIWIL,PIWIL2,17964,0,0.0,0.0
mtab_tumors,PLAC1,PLAC1,17964,0,0.0,0.0
mtab_tumors,POTE,POTEA,17964,0,0.0,0.0
mtab_tumors,POTE,POTEB,17964,0,0.0,0.0
mtab_tumors,POTE,POTEC,17964,0,0.0,0.0
mtab_tumors,POTE,POTED,17964,0,0.0,0.0
mtab_tumors,POTE,POTEE,17964,0,0.0,0.0
mtab_tumors,POTE,POTEG,17964,0,0.0,0.0
mtab_tumors,POTE,POTEH,17964,0,0.0,0.0
mtab_tumors,PRAME,PRAME,17964,0,0.0,0.0
mtab_tumors,PRM,PRM1,17964,0,0.0,0.0
mtab_tumors,PRM,PRM2,17964,0,0.0,0.0
mtab_tumors,PRSS54,PRSS54,17964,0,0.0,0.0
mtab_tumors,PRSS55,PRSS55,17964,0,0.0,0.0
mtab_tumors,PTPN20A,PTPN20A,17964,0,0.0,0.0
mtab_tumors,RBM46,RBM46,17964,0,0.0,0.0
mtab_tumors,RGS22,RGS22,17964,0,0.0,0.0
mtab_tumors,ROPN1,ROPN1,17964,0,0.0,0.0
mtab_tumors,RQCD1,RQCD1,17964,0,0.0,0.0
mtab_tumors,SAGE,SAGE1,17964,0,0.0,0.0
mtab_tumors,SEMG1,SEMG1,17964,0,0.0,0.0
mtab_tumors,SLCO6A1,SLCO6A1,17964,0,0.0,0.0
mtab_tumors,SPA17,SPA17,17964,0,0.0,0.0
mtab_tumors,SPACA3,SPACA3,17964,0,0.0,0.0
mtab_tumors,SPAG1,SPAG1,17964,0,0.0,0.0
mtab_tumors,SPAG17,SPAG17,17964,0,0.0,0.0
mtab_tumors,SPAG4,SPAG4,17964,0,0.0,0.0
mtab_tumors,SPAG6,SPAG6,17964,0,0.0,0.0
mtab_tumors,SPAG8,SPAG8,17964,0,0.0,0.0
mtab_tumors,SPAG9,SPAG9,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXA1,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXA2,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXB1,17964,23,0.001280338454687152,-0.018645082508187395
mtab_tumors,SPANX,SPANXB2,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXC,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXD,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXE,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXN1,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXN2,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXN3,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXN4,17964,0,0.0,0.0
mtab_tumors,SPANX,SPANXN5,17964,0,0.0,0.0
mtab_tumors,SPATA19,SPATA19,17964,0,0.0,0.0
mtab_tumors,SPEF2,SPEF2,17964,0,0.0,0.0
mtab_tumors,SPINLW1,SPINLW1,17964,0,0.0,0.0
mtab_tumors,SPO11,SPO11,17964,0,0.0,0.0
mtab_tumors,SSX,SSX1,17964,0,0.0,0.0
mtab_tumors,SSX,SSX2,17964,0,0.0,0.0
mtab_tumors,SSX,SSX2b,17964,0,0.0,0.0
mtab_tumors,SSX,SSX3,17964,0,0.0,0.0
mtab_tumors,SSX,SSX4,17964,0,0.0,0.0
mtab_tumors,SSX,SSX4B,17964,0,0.0,0.0
mtab_tumors,SSX,SSX5,17964,0,0.0,0.0
mtab_tumors,SSX,SSX6,17964,0,0.0,0.0
mtab_tumors,SSX,SSX7,17964,0,0.0,0.0
mtab_tumors,SSX,SSX9,17964,0,0.0,0.0
mtab_tumors,SYCE1,SYCE1,17964,0,0.0,0.0
mtab_tumors,SYCP1,SYCP1,17964,0,0.0,0.0
mtab_tumors,TAF7L,TAF7L,17964,0,0.0,0.0
mtab_tumors,TAG,TAG,17964,0,0.0,0.0
mtab_tumors,TDRD1,TDRD1,17964,0,0.0,0.0
mtab_tumors,TDRD,TDRD4,17964,0,0.0,0.0
mtab_tumors,TDRD1,TDRD6,17964,0,0.0,0.0
mtab_tumors,TEKT,TEKT5,17964,0,0.0,0.0
mtab_tumors,TEX101,TEX101,17964,0,0.0,0.0
mtab_tumors,TEX14,TEX14,17964,0,0.0,0.0
mtab_tumors,TEX15,TEX15,17964,698,0.03885548875528835,-0.00039696683449925925
mtab_tumors,HCA661,TFDP3,17964,0,0.0,0.0
mtab_tumors,THEG,THEG,17964,0,0.0,0.0
mtab_tumors,TMEFF,TMEFF1,17964,0,0.0,0.0
