,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
95,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,HIP1,protein_coding,Both
96,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CD22,protein_coding,Both
97,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ENTPD7,protein_coding,Both
98,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,RNF141,protein_coding,Both
99,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,RNASEL,protein_coding,Both
100,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,GPR146,protein_coding,Both
101,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,VASH1,protein_coding,Both
102,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SLC4A3,protein_coding,Both
103,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CDKN1A,protein_coding,Both
104,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TXN,protein_coding,Both
105,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,BHLHE40,protein_coding,Both
106,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,GNAQ,protein_coding,Both
107,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,MYH11,protein_coding,Both
108,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ZNF789,protein_coding,Both
109,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TBC1D9,protein_coding,Both
110,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,MED12L,protein_coding,Both
111,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ATP2B4,protein_coding,Both
112,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TNNI2,protein_coding,Both
113,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ACP3,protein_coding,Both
114,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SNRNP25,protein_coding,Both
115,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,MYO1E,protein_coding,Both
116,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,RBL1,protein_coding,Both
117,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,LGMN,protein_coding,Both
118,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SIGLEC1,protein_coding,Both
119,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,CCND3,protein_coding,Both
120,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ARHGAP18,protein_coding,Both
121,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,PLAAT3,protein_coding,Both
122,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,APEX1,protein_coding,Both
123,Blood,Blood,AXL+SIGLEC6+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TSEN54,protein_coding,Both
124,Blood,Blood,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD19,protein_coding,Both
125,Blood,Blood,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,PTPRC,protein_coding,Both
126,Blood,Blood,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD5,protein_coding,Both
127,Blood,Blood,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,MS4A1,protein_coding,Both
128,Blood,Blood,B cell,B cell,Hematopoietic,Immune cell,Lymphoid,Normal cell,CD79A,protein_coding,Both
148,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,LRRC18,protein_coding,Both
149,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,FNBP1,protein_coding,Both
150,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DUSP10,protein_coding,Both
151,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ACSS2,protein_coding,Both
152,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,TGM2,protein_coding,Both
153,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,HLA-DPB1,protein_coding,Both
154,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,DUSP2,protein_coding,Both
155,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ASAP1,protein_coding,Both
156,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,BATF3,protein_coding,Both
157,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,ADAM28,protein_coding,Both
158,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SHTN1,protein_coding,Both
159,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,SLC9A9,protein_coding,Both
160,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,STX3,protein_coding,Both
161,Blood,Blood,CD141+CLEC9A+ dendritic cell,Dendritic cell,Hematopoietic,Immune cell,Myeloid,Normal cell,BTLA,protein_coding,Both
