,tissue_class,tissue_type,original_name,source,Lineage,Cell_Category,cell_fine_category,source,target,Genetype,Sex
4593,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CBX1,protein_coding,Both
4594,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TSPAN12,protein_coding,Both
4595,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HELLS,protein_coding,Both
4596,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KLHL7,protein_coding,Both
4597,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,BUB3,protein_coding,Both
4598,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PTTG1,protein_coding,Both
4599,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FLRT2,protein_coding,Both
4600,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HLA-E,protein_coding,Both
4601,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HMGB1,protein_coding,Both
4602,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HMGB3,protein_coding,Both
4603,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HMGN2,protein_coding,Both
4604,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CMTM7,protein_coding,Both
4605,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CDCA5,protein_coding,Both
4606,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SLIT2,protein_coding,Both
4607,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,EFHC1,protein_coding,Both
4608,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RCHY1,protein_coding,Both
4609,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SELENOP,protein_coding,Both
4610,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZNF521,protein_coding,Both
4611,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HSPB1,protein_coding,Both
4612,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ITM2A,protein_coding,Both
4613,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CDC42EP2,protein_coding,Both
4614,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KIF23,protein_coding,Both
4615,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CD34,protein_coding,Both
4616,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HAPLN1,protein_coding,Both
4617,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ENTPD1,protein_coding,Both
4618,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KIF20B,protein_coding,Both
4619,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,AKAP12,protein_coding,Both
4620,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,H4C3,protein_coding,Both
4621,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KNTC1,protein_coding,Both
4622,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DLGAP5,protein_coding,Both
4623,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SMTN,protein_coding,Both
4624,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ARMCX2,protein_coding,Both
4625,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SNRPD1,protein_coding,Both
4626,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MRPL13,protein_coding,Both
4627,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,GARRE1,protein_coding,Both
4628,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PCLAF,protein_coding,Both
4629,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CDKN1C,protein_coding,Both
4630,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ARL4A,protein_coding,Both
4631,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RCBTB2,protein_coding,Both
4632,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CKS1B,protein_coding,Both
4633,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RAMP2,protein_coding,Both
4634,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZEB1,protein_coding,Both
4635,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,COL6A2,protein_coding,Both
4636,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MEIS2,protein_coding,Both
4637,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FKBP1A,protein_coding,Both
4638,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PPIH,protein_coding,Both
4639,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SKA2,protein_coding,Both
4640,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SLC39A9,protein_coding,Both
4641,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MYH10,protein_coding,Both
4642,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DAB2,protein_coding,Both
4643,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MIGA1,protein_coding,Both
4644,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,INVS,protein_coding,Both
4645,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TUBB,protein_coding,Both
4646,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ITGA5,protein_coding,Both
4647,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,WDR76,protein_coding,Both
4648,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,GNG11,protein_coding,Both
4649,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PLK2,protein_coding,Both
4650,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DNMT1,protein_coding,Both
4651,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CENPK,protein_coding,Both
4652,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,GPR161,protein_coding,Both
4653,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DNAJC1,protein_coding,Both
4654,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SOX4,protein_coding,Both
4655,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,GYPC,protein_coding,Both
4656,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LDHA,protein_coding,Both
4657,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,EIF4E,protein_coding,Both
4658,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SSBP2,protein_coding,Both
4659,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LRRN3,protein_coding,Both
4660,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PDE6D,protein_coding,Both
4661,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,WDHD1,protein_coding,Both
4662,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,F2R,protein_coding,Both
4663,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LMO4,protein_coding,Both
4664,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZNF286A,protein_coding,Both
4665,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,S100A4,protein_coding,Both
4666,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FN1,protein_coding,Both
4667,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,THOC3,protein_coding,Both
4668,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,POLR2E,protein_coding,Both
4669,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ARL8B,protein_coding,Both
4670,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PEAR1,protein_coding,Both
4671,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KIF22,protein_coding,Both
4672,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PPP6C,protein_coding,Both
4673,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RPAP2,protein_coding,Both
4674,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MYD88,protein_coding,Both
4675,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SPAG5,protein_coding,Both
4676,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ST6GAL1,protein_coding,Both
4677,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SLC35E3,protein_coding,Both
4678,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ST8SIA1,protein_coding,Both
4679,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LIFR,protein_coding,Both
4680,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,C22orf39,protein_coding,Both
4681,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZCCHC24,protein_coding,Both
4682,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SASH1,protein_coding,Both
4683,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MZT1,protein_coding,Both
4684,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RASGRP3,protein_coding,Both
4685,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,NCAPH,protein_coding,Both
4686,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PRR11,protein_coding,Both
4687,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CENPJ,protein_coding,Both
4688,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RAD51,protein_coding,Both
4689,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,STMN1,protein_coding,Both
4690,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RANBP1,protein_coding,Both
4691,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DDAH2,protein_coding,Both
4692,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SPTBN1,protein_coding,Both
4693,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,IFT27,protein_coding,Both
4694,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LIMS1,protein_coding,Both
4695,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,IFI16,protein_coding,Both
4696,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZNF362,protein_coding,Both
4697,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MARCKS,protein_coding,Both
4698,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,HNRNPD,protein_coding,Both
4699,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,NUDT1,protein_coding,Both
4700,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DPH3,protein_coding,Both
4701,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LMNB2,protein_coding,Both
4702,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MYO1C,protein_coding,Both
4703,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SPATS2L,protein_coding,Both
4704,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TTK,protein_coding,Both
4705,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MCUR1,protein_coding,Both
4706,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZBTB2,protein_coding,Both
4707,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SNAP47,protein_coding,Both
4708,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,POLK,protein_coding,Both
4709,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CTDSPL2,protein_coding,Both
4710,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,THY1,protein_coding,Both
4711,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MGMT,protein_coding,Both
4712,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ITGAE,protein_coding,Both
4713,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PCDH17,protein_coding,Both
4714,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TSPAN4,protein_coding,Both
4715,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PCOLCE,protein_coding,Both
4716,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SNAI2,protein_coding,Both
4717,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DNTTIP2,protein_coding,Both
4718,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZBTB44,protein_coding,Both
4719,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CENPU,protein_coding,Both
4720,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,WWOX,protein_coding,Both
4721,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PTN,protein_coding,Both
4722,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SMAD1,protein_coding,Both
4723,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MAN1A1,protein_coding,Both
4724,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PFN1,protein_coding,Both
4725,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LAMA4,protein_coding,Both
4726,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MRPS34,protein_coding,Both
4727,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,NR2F2,protein_coding,Both
4728,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,GPCPD1,protein_coding,Both
4729,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PDCL,protein_coding,Both
4730,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CAVIN1,protein_coding,Both
4731,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TMSB4X,protein_coding,Both
4732,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FAM126A,protein_coding,Both
4733,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MDK,protein_coding,Both
4734,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,GLTP,protein_coding,Both
4735,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TACC3,protein_coding,Both
4736,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,RFWD3,protein_coding,Both
4737,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PTMA,protein_coding,Both
4738,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZNF652,protein_coding,Both
4739,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CES2,protein_coding,Both
4740,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TIMP3,protein_coding,Both
4741,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,C1orf112,protein_coding,Both
4742,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CARD8,protein_coding,Both
4743,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,NFIB,protein_coding,Both
4744,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TUBB6,protein_coding,Both
4745,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PROCR,protein_coding,Both
4746,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,CENPN,protein_coding,Both
4747,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FANCI,protein_coding,Both
4748,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PSMB3,protein_coding,Both
4749,Gonad,Fetal gonad,Endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,JAM3,protein_coding,Both
4750,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,TRAF3IP2,protein_coding,Both
4751,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,NUP50,protein_coding,Both
4752,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,VIM,protein_coding,Both
4753,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ACP2,protein_coding,Both
4754,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,FAM171A1,protein_coding,Both
4755,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,WIPF1,protein_coding,Both
4756,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ACTB,protein_coding,Both
4757,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,EMCN,protein_coding,Both
4758,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,SMIM13,protein_coding,Both
4759,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PXDC1,protein_coding,Both
4760,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ORAI2,protein_coding,Both
4761,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,XRCC4,protein_coding,Both
4762,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PLEKHO2,protein_coding,Both
4763,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ADD3,protein_coding,Both
4764,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ADM,protein_coding,Both
4765,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MAGED2,protein_coding,Both
4766,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,DUSP6,protein_coding,Both
4767,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,ZKSCAN8,protein_coding,Both
4768,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,MMS22L,protein_coding,Both
4769,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,AIF1,protein_coding,Both
4770,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,OAS1,protein_coding,Both
4771,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,LAPTM5,protein_coding,Both
4772,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,KDM7A,protein_coding,Both
4773,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,EFNA1,protein_coding,Both
4774,Gonad,Fetal gonad,Gonadal endothelial cell,Endothelial cell,Mesoderm,Endothelial cell,Endothelial cell,Normal cell,PXDN,protein_coding,Both
