,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
14740,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL2RA,IL2RA,protein_coding,Both
14741,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL2RB,IL2RB,protein_coding,Both
14742,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL2RG,IL2RG,protein_coding,Both
14743,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL32,IL32,protein_coding,Both
14744,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL4I1,IL4I1,protein_coding,Both
14745,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL4R,IL4R,protein_coding,Both
14746,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL7R,IL7R,protein_coding,Both
14747,Kidney,Kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL7R,IL7R,protein_coding,Both
14748,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL9R,IL9R,protein_coding,Both
14749,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILF2,ILF2,protein_coding,Both
14750,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILF3,ILF3,protein_coding,Both
14751,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILK,ILK,protein_coding,Both
14752,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILKAP,ILKAP,protein_coding,Both
14753,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMMP1L,IMMP1L,protein_coding,Both
14754,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMMT,IMMT,protein_coding,Both
14755,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMP3,IMP3,protein_coding,Both
14756,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMP4,IMP4,protein_coding,Both
14757,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMPA1,IMPA1,protein_coding,Both
14758,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMPDH2,IMPDH2,protein_coding,Both
14759,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ING3,ING3,protein_coding,Both
14760,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ING4,ING4,protein_coding,Both
14761,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INO80B,INO80B,protein_coding,Both
14762,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INO80D,INO80D,protein_coding,Both
14763,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INO80E,INO80E,protein_coding,Both
14764,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP1,INPP1,protein_coding,Both
14765,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP4A,INPP4A,protein_coding,Both
14766,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP5B,INPP5B,protein_coding,Both
14767,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP5D,INPP5D,protein_coding,Both
14768,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP5K,INPP5K,protein_coding,Both
14769,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INSIG1,INSIG1,protein_coding,Both
14770,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS10,INTS10,protein_coding,Both
14771,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,CPSF3L,INTS11,protein_coding,Both
14772,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ASUN,INTS13,protein_coding,Both
14773,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,VWA9,INTS14,protein_coding,Both
14774,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS4,INTS4,protein_coding,Both
14775,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS6,INTS6,protein_coding,Both
14776,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS7,INTS7,protein_coding,Both
14777,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS9,INTS9,protein_coding,Both
14778,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IP6K1,IP6K1,protein_coding,Both
14779,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IP6K2,IP6K2,protein_coding,Both
14780,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IPCEF1,IPCEF1,protein_coding,Both
14781,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IPO5,IPO5,protein_coding,Both
14782,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IQGAP1,IQGAP1,protein_coding,Both
14783,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IQGAP2,IQGAP2,protein_coding,Both
14784,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,LRMP,IRAG2,protein_coding,Both
14785,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IREB2,IREB2,protein_coding,Both
14786,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF1,IRF1,protein_coding,Both
14787,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,C5orf56,IRF1-AS1,lncRNA,Both
14788,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF2,IRF2,protein_coding,Both
14789,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF2BPL,IRF2BPL,protein_coding,Both
14790,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF3,IRF3,protein_coding,Both
14791,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF4,IRF4,protein_coding,Both
14792,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF7,IRF7,protein_coding,Both
14793,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF8,IRF8,protein_coding,Both
14794,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRS2,IRS2,protein_coding,Both
14795,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISCA1,ISCA1,protein_coding,Both
14796,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISCU,ISCU,protein_coding,Both
14797,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISG15,ISG15,protein_coding,Both
14798,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISG20,ISG20,protein_coding,Both
14799,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISG20L2,ISG20L2,protein_coding,Both
14800,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISOC1,ISOC1,protein_coding,Both
14801,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IST1,IST1,protein_coding,Both
14802,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISY1,ISY1,protein_coding,Both
14803,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITCH,ITCH,protein_coding,Both
14804,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITCH-AS1,ITCH-AS1,lncRNA,Both
14805,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITFG1,ITFG1,protein_coding,Both
14806,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGA4,ITGA4,protein_coding,Both
14807,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGAE,ITGAE,protein_coding,Both
14808,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGAL,ITGAL,protein_coding,Both
14809,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGAM,ITGAM,protein_coding,Both
14810,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB1,ITGB1,protein_coding,Both
14811,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB1BP1,ITGB1BP1,protein_coding,Both
14812,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB2,ITGB2,protein_coding,Both
14813,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB2-AS1,ITGB2-AS1,lncRNA,Both
14814,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB3BP,ITGB3BP,protein_coding,Both
14815,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB7,ITGB7,protein_coding,Both
14816,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITIH5,ITIH5,protein_coding,Both
14817,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITK,ITK,protein_coding,Both
14818,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITM2A,ITM2A,protein_coding,Both
14819,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITM2B,ITM2B,protein_coding,Both
14820,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITM2C,ITM2C,protein_coding,Both
14821,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITPA,ITPA,protein_coding,Both
14822,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITPK1,ITPK1,protein_coding,Both
14823,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITPRIP,ITPRIP,protein_coding,Both
14824,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITSN2,ITSN2,protein_coding,Both
14825,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IVNS1ABP,IVNS1ABP,protein_coding,Both
14826,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IWS1,IWS1,protein_coding,Both
14827,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JADE1,JADE1,protein_coding,Both
14828,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JADE2,JADE2,protein_coding,Both
14829,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAG1,JAG1,protein_coding,Both
14830,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAGN1,JAGN1,protein_coding,Both
14831,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAK1,JAK1,protein_coding,Both
14832,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAK3,JAK3,protein_coding,Both
14833,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JARID2,JARID2,protein_coding,Both
14834,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAZF1,JAZF1,protein_coding,Both
14835,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMJD1C,JMJD1C,protein_coding,Both
14836,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMJD6,JMJD6,protein_coding,Both
14837,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMJD7-PLA2G4B,JMJD7-PLA2G4B,protein_coding,Both
14838,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMY,JMY,protein_coding,Both
14839,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JOSD1,JOSD1,protein_coding,Both
14840,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JOSD2,JOSD2,protein_coding,Both
14841,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,HN1,JPT1,protein_coding,Both
14842,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JTB,JTB,protein_coding,Both
14843,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JUN,JUN,protein_coding,Both
14844,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JUNB,JUNB,protein_coding,Both
14845,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JUND,JUND,protein_coding,Both
14846,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KANK3,KANK3,protein_coding,Both
14847,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KANSL1,KANSL1,protein_coding,Both
14848,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KANSL2,KANSL2,protein_coding,Both
14849,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KARS,KARS1,protein_coding,Both
14850,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT2B,KAT2B,protein_coding,Both
14851,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT5,KAT5,protein_coding,Both
14852,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT6A,KAT6A,protein_coding,Both
14853,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT6B,KAT6B,protein_coding,Both
14854,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KBTBD2,KBTBD2,protein_coding,Both
14855,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCNAB2,KCNAB2,protein_coding,Both
14856,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCNIP4,KCNIP4,protein_coding,Both
14857,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCNQ5,KCNQ5,protein_coding,Both
14858,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD10,KCTD10,protein_coding,Both
14859,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD17,KCTD17,protein_coding,Both
14860,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD19,KCTD19,protein_coding,Both
14861,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD5,KCTD5,protein_coding,Both
14862,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD9,KCTD9,protein_coding,Both
14863,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDELR1,KDELR1,protein_coding,Both
14864,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDELR2,KDELR2,protein_coding,Both
14865,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM1A,KDM1A,protein_coding,Both
14866,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM2A,KDM2A,protein_coding,Both
14867,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM4B,KDM4B,protein_coding,Both
14868,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM4C,KDM4C,protein_coding,Both
14869,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM5A,KDM5A,protein_coding,Both
14870,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM5C,KDM5C,protein_coding,Both
14871,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM5D,KDM5D,protein_coding,Both
14872,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM6A,KDM6A,protein_coding,Both
14873,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM6B,KDM6B,protein_coding,Both
14874,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM7A,KDM7A,protein_coding,Both
14875,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDSR,KDSR,protein_coding,Both
14876,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KEAP1,KEAP1,protein_coding,Both
14877,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA0907,KHDC4,protein_coding,Both
14878,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KHDRBS1,KHDRBS1,protein_coding,Both
14879,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA0586,KIAA0586,protein_coding,Both
14880,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA1109,KIAA1109,protein_coding,Both
14881,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA1143,KIAA1143,protein_coding,Both
14882,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA1328,KIAA1328,protein_coding,Both
14883,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA2026,KIAA2026,protein_coding,Both
14884,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF11,KIF11,protein_coding,Both
14885,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF19,KIF19,protein_coding,Both
14886,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF21B,KIF21B,protein_coding,Both
14887,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF2A,KIF2A,protein_coding,Both
14888,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF5B,KIF5B,protein_coding,Both
14889,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIFAP3,KIFAP3,protein_coding,Both
14890,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIFC1,KIFC1,protein_coding,Both
14891,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIR2DL1,KIR2DL1,protein_coding,Both
14892,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIR2DL3,KIR2DL3,protein_coding,Both
14893,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIR2DL4,KIR2DL4,protein_coding,Both
14894,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIR3DL1,KIR3DL1,protein_coding,Both
14895,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIR3DL3,KIR3DL3,protein_coding,Both
14896,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIT,KIT,protein_coding,Both
14897,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLF10,KLF10,protein_coding,Both
14898,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLF12,KLF12,protein_coding,Both
14899,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLF13,KLF13,protein_coding,Both
14900,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLF3,KLF3,protein_coding,Both
14901,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLF6,KLF6,protein_coding,Both
14902,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHDC2,KLHDC2,protein_coding,Both
14903,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHDC3,KLHDC3,protein_coding,Both
14904,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHDC4,KLHDC4,protein_coding,Both
14905,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHL20,KLHL20,protein_coding,Both
14906,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHL24,KLHL24,protein_coding,Both
14907,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHL28,KLHL28,protein_coding,Both
14908,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHL36,KLHL36,protein_coding,Both
14909,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLHL6,KLHL6,protein_coding,Both
14910,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRB1,KLRB1,protein_coding,Both
14911,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRC1,KLRC1,protein_coding,Both
14912,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRC2,KLRC2,protein_coding,Both
14913,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRC3,KLRC3,protein_coding,Both
14914,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRC4,KLRC4,protein_coding,Both
14915,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRD1,KLRD1,protein_coding,Both
14916,Kidney,Kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRD1,KLRD1,protein_coding,Both
14917,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRF1,KLRF1,protein_coding,Both
14918,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRG1,KLRG1,protein_coding,Both
14919,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KLRK1,KLRK1,protein_coding,Both
14920,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KMT2A,KMT2A,protein_coding,Both
14921,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KMT2C,KMT2C,protein_coding,Both
14922,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KMT2E,KMT2E,protein_coding,Both
14923,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KMT5C,KMT5C,protein_coding,Both
14924,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KPNA2,KPNA2,protein_coding,Both
14925,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KPNA3,KPNA3,protein_coding,Both
14926,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KPNA4,KPNA4,protein_coding,Both
14927,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KPNB1,KPNB1,protein_coding,Both
14928,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KPTN,KPTN,protein_coding,Both
14929,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRI1,KRI1,protein_coding,Both
14930,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRIT1,KRIT1,protein_coding,Both
14931,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRR1,KRR1,protein_coding,Both
14932,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRT10,KRT10,protein_coding,Both
14933,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,TMEM99,KRT10-AS1,lncRNA,Both
14934,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRT2,KRT2,protein_coding,Both
14935,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRT23,KRT23,protein_coding,Both
14936,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KRT72,KRT72,protein_coding,Both
