,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex
167,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,BTLA,BTLA,protein_coding,Both
168,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BTLA,BTLA,protein_coding,Both
169,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,BTNL9,BTNL9,protein_coding,Both
170,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C11orf24,C11orf24,protein_coding,Both
171,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C12orf42,C12orf42,protein_coding,Both
172,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,C16orf74,C16orf74,protein_coding,Both
173,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C16orf74,C16orf74,protein_coding,Both
174,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C16orf87,C16orf87,protein_coding,Both
175,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,C17orf67,C17orf67,protein_coding,Both
176,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C1GALT1,C1GALT1,protein_coding,Both
177,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C2orf88,C2orf88,protein_coding,Both
178,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CA2,CA2,protein_coding,Both
179,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CACNB4,CACNB4,protein_coding,Both
180,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CALB1,CALB1,protein_coding,Both
181,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CALR,CALR,protein_coding,Both
182,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CAMK1D,CAMK1D,protein_coding,Both
183,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CAPG,CAPG,protein_coding,Both
184,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,LRRC16A,CARMIL1,protein_coding,Both
185,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CASP2,CASP2,protein_coding,Both
186,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CAV1,CAV1,protein_coding,Both
187,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CBFA2T3,CBFA2T3,protein_coding,Both
188,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CBWD5,CBWD5,protein_coding,Both
189,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CBX7,CBX7,protein_coding,Both
190,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CCDC191,CCDC191,protein_coding,Both
191,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCDC191,CCDC191,protein_coding,Both
192,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,C15orf57,CCDC32,protein_coding,Both
193,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCDC50,CCDC50,protein_coding,Both
194,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCDC81,CCDC81,protein_coding,Both
195,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CTGF,CCN2,protein_coding,Both
196,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCNB1,CCNB1,protein_coding,Both
197,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCNB1IP1,CCNB1IP1,protein_coding,Both
198,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CCNI,CCNI,protein_coding,Both
