,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
99,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,COL4A4,COL4A4,protein_coding,Both,,,,,
100,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,COL9A3,COL9A3,protein_coding,Both,,,,,
101,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,COQ4,COQ4,protein_coding,Both,,,,,
102,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CPNE5,CPNE5,protein_coding,Both,,,,,
103,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CR1,CR1,protein_coding,Both,,,,,
104,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CSNK1E,CSNK1E,protein_coding,Both,,,,,
106,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CSNK1G3,CSNK1G3,protein_coding,Both,,,,,
107,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CTSH,CTSH,protein_coding,Both,,,,,
108,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CTXN3,CTXN3,protein_coding,Both,,,,,
109,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CUL4B,CUL4B,protein_coding,Both,,,,,
110,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CXCR5,CXCR5,protein_coding,Both,,,,,
111,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CXXC5,CXXC5,protein_coding,Both,,,,,
112,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CYB561A3,CYB561A3,protein_coding,Both,,,,,
114,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CYB5RL,CYB5RL,protein_coding,Both,,,,,
116,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,CYFIP2,CYFIP2,protein_coding,Both,,,,,
117,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,CYSLTR1,CYSLTR1,protein_coding,Both,,,,,
118,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DAAM1,DAAM1,protein_coding,Both,,,,,
119,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DAPP1,DAPP1,protein_coding,Both,,,,,
120,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DAXX,DAXX,protein_coding,Both,,,,,
121,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDAH2,DDAH2,protein_coding,Both,,,,,
122,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDC,DDC,protein_coding,Both,,,,,
123,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDX11,DDX11,protein_coding,Both,,,,,
125,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DDX3X,DDX3X,protein_coding,Both,,,,,
126,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DENND5B,DENND5B,protein_coding,Both,,,,,
127,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DERL3,DERL3,protein_coding,Both,,,,,
128,Blood,Blood,Normal cell,Immune cell,B cell,B cell,B2M,B2M,protein_coding,Both,,,,,
129,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DGKD,DGKD,protein_coding,Both,,,,,
130,Blood,Peripheral blood,Cancer cell,Immune cell,B cell,B cell,BP1,DLX4,protein_coding,Both,,,,,
133,Kidney,Kidney,Cancer cell,Immune cell,B cell,B cell,DHTKD1,DHTKD1,protein_coding,Both,,,,,
134,Blood,Blood,Normal cell,Immune cell,B cell,B cell,BANK1,BANK1,protein_coding,Both,,,,,
140,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DHX29,DHX29,protein_coding,Both,,,,,
141,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DLAT,DLAT,protein_coding,Both,,,,,
143,Blood,Peripheral blood,Normal cell,Immune cell,B cell,B cell,CD95,FAS,protein_coding,Both,,,,,
146,Kidney,Kidney,Normal cell,Immune cell,B cell,B cell,DMTN,DMTN,protein_coding,Both,,,,,
147,Blood,Blood,Normal cell,Immune cell,B cell,B cell,BCL6,BCL6,protein_coding,Both,,,,,
