,tissue_class,tissue_type,cancer_type,cell_type,cell_state,full_cell_name,marker,Symbol,Genetype,sex,,,,,
14592,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ID2,ID2,protein_coding,Both,,,,,
14593,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IDH2,IDH2,protein_coding,Both,,,,,
14594,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IDH3B,IDH3B,protein_coding,Both,,,,,
14595,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IDH3G,IDH3G,protein_coding,Both,,,,,
14596,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IDI1,IDI1,protein_coding,Both,,,,,
14597,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IDS,IDS,protein_coding,Both,,,,,
14598,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IER2,IER2,protein_coding,Both,,,,,
14599,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IER3IP1,IER3IP1,protein_coding,Both,,,,,
14600,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IER5,IER5,protein_coding,Both,,,,,
14601,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFFO2,IFFO2,protein_coding,Both,,,,,
14602,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFI16,IFI16,protein_coding,Both,,,,,
14603,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFI35,IFI35,protein_coding,Both,,,,,
14604,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFI6,IFI6,protein_coding,Both,,,,,
14605,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFIH1,IFIH1,protein_coding,Both,,,,,
14606,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFITM1,IFITM1,protein_coding,Both,,,,,
14607,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFITM2,IFITM2,protein_coding,Both,,,,,
14608,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFITM3,IFITM3,protein_coding,Both,,,,,
14609,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFNG-AS1,IFNG-AS1,lncRNA,Both,,,,,
14610,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFNGR1,IFNGR1,protein_coding,Both,,,,,
14611,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFRD1,IFRD1,protein_coding,Both,,,,,
14612,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFT20,IFT20,protein_coding,Both,,,,,
14614,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFT52,IFT52,protein_coding,Both,,,,,
14615,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IFT88,IFT88,protein_coding,Both,,,,,
14616,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IGBP1,IGBP1,protein_coding,Both,,,,,
14617,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IGF2BP2,IGF2BP2,protein_coding,Both,,,,,
14618,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IGFBP6,IGFBP6,protein_coding,Both,,,,,
14619,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IGHMBP2,IGHMBP2,protein_coding,Both,,,,,
14620,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IK,IK,protein_coding,Both,,,,,
14621,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IKBKE,IKBKE,protein_coding,Both,,,,,
14622,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IKBKG,IKBKG,protein_coding,Both,,,,,
14623,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IKZF1,IKZF1,protein_coding,Both,,,,,
14624,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IKZF2,IKZF2,protein_coding,Both,,,,,
14625,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IKZF3,IKZF3,protein_coding,Both,,,,,
14626,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL12RB1,IL12RB1,protein_coding,Both,,,,,
14627,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL12RB2,IL12RB2,protein_coding,Both,,,,,
14628,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL16,IL16,protein_coding,Both,,,,,
14629,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL17F,IL17F,protein_coding,Both,,,,,
14630,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL18R1,IL18R1,protein_coding,Both,,,,,
14631,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL1R1,IL1R1,protein_coding,Both,,,,,
14632,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL1RL1,IL1RL1,protein_coding,Both,,,,,
14633,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL21R,IL21R,protein_coding,Both,,,,,
14634,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL21R-AS1,IL21R-AS1,lncRNA,Both,,,,,
14635,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL23R,IL23R,protein_coding,Both,,,,,
14636,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL26,IL26,protein_coding,Both,,,,,
14637,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL27RA,IL27RA,protein_coding,Both,,,,,
14639,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL2RG,IL2RG,protein_coding,Both,,,,,
14640,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL4I1,IL4I1,protein_coding,Both,,,,,
14641,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL4R,IL4R,protein_coding,Both,,,,,
14642,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IL9R,IL9R,protein_coding,Both,,,,,
14643,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILF2,ILF2,protein_coding,Both,,,,,
14644,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILF3,ILF3,protein_coding,Both,,,,,
14645,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILK,ILK,protein_coding,Both,,,,,
14646,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ILKAP,ILKAP,protein_coding,Both,,,,,
14647,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMMP1L,IMMP1L,protein_coding,Both,,,,,
14648,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMMT,IMMT,protein_coding,Both,,,,,
14649,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMP3,IMP3,protein_coding,Both,,,,,
14650,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMP4,IMP4,protein_coding,Both,,,,,
14651,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMPA1,IMPA1,protein_coding,Both,,,,,
14652,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IMPDH2,IMPDH2,protein_coding,Both,,,,,
14653,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ING3,ING3,protein_coding,Both,,,,,
14654,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ING4,ING4,protein_coding,Both,,,,,
14655,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INO80B,INO80B,protein_coding,Both,,,,,
14656,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INO80D,INO80D,protein_coding,Both,,,,,
14657,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INO80E,INO80E,protein_coding,Both,,,,,
14658,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP1,INPP1,protein_coding,Both,,,,,
14659,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP4A,INPP4A,protein_coding,Both,,,,,
14660,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP5B,INPP5B,protein_coding,Both,,,,,
14661,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP5D,INPP5D,protein_coding,Both,,,,,
14662,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INPP5K,INPP5K,protein_coding,Both,,,,,
14663,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INSIG1,INSIG1,protein_coding,Both,,,,,
14664,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS10,INTS10,protein_coding,Both,,,,,
14665,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,CPSF3L,INTS11,protein_coding,Both,,,,,
14666,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ASUN,INTS13,protein_coding,Both,,,,,
14667,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,VWA9,INTS14,protein_coding,Both,,,,,
14668,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS4,INTS4,protein_coding,Both,,,,,
14669,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS6,INTS6,protein_coding,Both,,,,,
14670,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS7,INTS7,protein_coding,Both,,,,,
14671,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,INTS9,INTS9,protein_coding,Both,,,,,
14672,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IP6K1,IP6K1,protein_coding,Both,,,,,
14673,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IP6K2,IP6K2,protein_coding,Both,,,,,
14674,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IPCEF1,IPCEF1,protein_coding,Both,,,,,
14675,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IPO5,IPO5,protein_coding,Both,,,,,
14676,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IQGAP1,IQGAP1,protein_coding,Both,,,,,
14677,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IQGAP2,IQGAP2,protein_coding,Both,,,,,
14678,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,LRMP,IRAG2,protein_coding,Both,,,,,
14679,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IREB2,IREB2,protein_coding,Both,,,,,
14680,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF1,IRF1,protein_coding,Both,,,,,
14681,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,C5orf56,IRF1-AS1,lncRNA,Both,,,,,
14682,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF2,IRF2,protein_coding,Both,,,,,
14683,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF2BPL,IRF2BPL,protein_coding,Both,,,,,
14684,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF3,IRF3,protein_coding,Both,,,,,
14685,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF4,IRF4,protein_coding,Both,,,,,
14686,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF7,IRF7,protein_coding,Both,,,,,
14687,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRF8,IRF8,protein_coding,Both,,,,,
14688,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IRS2,IRS2,protein_coding,Both,,,,,
14689,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISCA1,ISCA1,protein_coding,Both,,,,,
14690,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISCU,ISCU,protein_coding,Both,,,,,
14691,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISG15,ISG15,protein_coding,Both,,,,,
14692,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISG20,ISG20,protein_coding,Both,,,,,
14693,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISG20L2,ISG20L2,protein_coding,Both,,,,,
14694,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISOC1,ISOC1,protein_coding,Both,,,,,
14695,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IST1,IST1,protein_coding,Both,,,,,
14696,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ISY1,ISY1,protein_coding,Both,,,,,
14697,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITCH,ITCH,protein_coding,Both,,,,,
14698,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITCH-AS1,ITCH-AS1,lncRNA,Both,,,,,
14699,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITFG1,ITFG1,protein_coding,Both,,,,,
14700,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGA4,ITGA4,protein_coding,Both,,,,,
14701,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGAE,ITGAE,protein_coding,Both,,,,,
14702,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGAL,ITGAL,protein_coding,Both,,,,,
14704,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB1,ITGB1,protein_coding,Both,,,,,
14705,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB1BP1,ITGB1BP1,protein_coding,Both,,,,,
14706,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB2,ITGB2,protein_coding,Both,,,,,
14707,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB2-AS1,ITGB2-AS1,lncRNA,Both,,,,,
14708,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB3BP,ITGB3BP,protein_coding,Both,,,,,
14709,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITGB7,ITGB7,protein_coding,Both,,,,,
14711,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITIH5,ITIH5,protein_coding,Both,,,,,
14712,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITK,ITK,protein_coding,Both,,,,,
14713,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITM2A,ITM2A,protein_coding,Both,,,,,
14714,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITM2B,ITM2B,protein_coding,Both,,,,,
14715,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITM2C,ITM2C,protein_coding,Both,,,,,
14716,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITPA,ITPA,protein_coding,Both,,,,,
14717,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITPK1,ITPK1,protein_coding,Both,,,,,
14718,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITPRIP,ITPRIP,protein_coding,Both,,,,,
14719,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,ITSN2,ITSN2,protein_coding,Both,,,,,
14720,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IVNS1ABP,IVNS1ABP,protein_coding,Both,,,,,
14721,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,IWS1,IWS1,protein_coding,Both,,,,,
14722,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JADE1,JADE1,protein_coding,Both,,,,,
14723,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JADE2,JADE2,protein_coding,Both,,,,,
14724,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAG1,JAG1,protein_coding,Both,,,,,
14725,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAGN1,JAGN1,protein_coding,Both,,,,,
14726,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAK1,JAK1,protein_coding,Both,,,,,
14727,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAK3,JAK3,protein_coding,Both,,,,,
14728,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JARID2,JARID2,protein_coding,Both,,,,,
14729,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JAZF1,JAZF1,protein_coding,Both,,,,,
14730,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMJD1C,JMJD1C,protein_coding,Both,,,,,
14731,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMJD6,JMJD6,protein_coding,Both,,,,,
14733,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMJD7-PLA2G4B,JMJD7-PLA2G4B,protein_coding,Both,,,,,
14734,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JMY,JMY,protein_coding,Both,,,,,
14735,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JOSD1,JOSD1,protein_coding,Both,,,,,
14736,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JOSD2,JOSD2,protein_coding,Both,,,,,
14737,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,HN1,JPT1,protein_coding,Both,,,,,
14738,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JTB,JTB,protein_coding,Both,,,,,
14739,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JUNB,JUNB,protein_coding,Both,,,,,
14740,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,JUND,JUND,protein_coding,Both,,,,,
14742,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KANK3,KANK3,protein_coding,Both,,,,,
14744,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KANSL1,KANSL1,protein_coding,Both,,,,,
14745,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KANSL2,KANSL2,protein_coding,Both,,,,,
14748,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KARS,KARS1,protein_coding,Both,,,,,
14749,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT2B,KAT2B,protein_coding,Both,,,,,
14750,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT5,KAT5,protein_coding,Both,,,,,
14751,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT6A,KAT6A,protein_coding,Both,,,,,
14752,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KAT6B,KAT6B,protein_coding,Both,,,,,
14753,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KBTBD2,KBTBD2,protein_coding,Both,,,,,
14754,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCNAB2,KCNAB2,protein_coding,Both,,,,,
14755,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCNIP4,KCNIP4,protein_coding,Both,,,,,
14756,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCNQ5,KCNQ5,protein_coding,Both,,,,,
14757,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD10,KCTD10,protein_coding,Both,,,,,
14758,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD17,KCTD17,protein_coding,Both,,,,,
14759,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD19,KCTD19,protein_coding,Both,,,,,
14760,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD5,KCTD5,protein_coding,Both,,,,,
14761,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KCTD9,KCTD9,protein_coding,Both,,,,,
14762,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDELR1,KDELR1,protein_coding,Both,,,,,
14763,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDELR2,KDELR2,protein_coding,Both,,,,,
14764,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM1A,KDM1A,protein_coding,Both,,,,,
14765,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM2A,KDM2A,protein_coding,Both,,,,,
14766,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM4B,KDM4B,protein_coding,Both,,,,,
14767,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM4C,KDM4C,protein_coding,Both,,,,,
14768,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM5A,KDM5A,protein_coding,Both,,,,,
14769,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM5C,KDM5C,protein_coding,Both,,,,,
14770,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM5D,KDM5D,protein_coding,Both,,,,,
14771,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM6A,KDM6A,protein_coding,Both,,,,,
14772,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM6B,KDM6B,protein_coding,Both,,,,,
14773,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDM7A,KDM7A,protein_coding,Both,,,,,
14774,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KDSR,KDSR,protein_coding,Both,,,,,
14775,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KEAP1,KEAP1,protein_coding,Both,,,,,
14776,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA0907,KHDC4,protein_coding,Both,,,,,
14777,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KHDRBS1,KHDRBS1,protein_coding,Both,,,,,
14778,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA0586,KIAA0586,protein_coding,Both,,,,,
14779,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA1109,KIAA1109,protein_coding,Both,,,,,
14780,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA1143,KIAA1143,protein_coding,Both,,,,,
14781,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA1328,KIAA1328,protein_coding,Both,,,,,
14782,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIAA2026,KIAA2026,protein_coding,Both,,,,,
14783,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF11,KIF11,protein_coding,Both,,,,,
14784,Kidney,Fetal kidney,Normal cell,Immune cell,Natural killer T (NKT) cell,Natural killer cell,KIF19,KIF19,protein_coding,Both,,,,,
