,source,target
773,B cell,NFKBID
774,B cell,NFKBID
775,B cell,NFKBIE
776,B cell,NGLY1
777,B cell,NIBAN3
778,B cell,NIBAN3
779,B cell,NIFK
780,B cell,NIPAL4
781,B cell,NKX6-2
782,B cell,NME4
783,B cell,NME7
784,B cell,NOC3L
785,B cell,NOP53
786,B cell,NOP53
787,B cell,NPIPB15
788,B cell,NPM1
789,B cell,NR3C2
790,B cell,NR4A1
791,B cell,NR4A1
792,B cell,NSA2
793,B cell,NT5DC2
794,B cell,NT5E
795,B cell,NT5E
796,B cell,NUAK2
797,B cell,NUDT6
798,B cell,NUP88
799,B cell,NUS1
800,B cell,NXPH4
801,B cell,OAS1
802,B cell,OAZ1
803,B cell,ODC1
804,B cell,ODC1
805,B cell,ORAI2
806,B cell,ORAI2
807,B cell,ORC4
808,B cell,OSBPL10
809,B cell,OSBPL10
810,B cell,OSBPL10-AS1
811,B cell,OSBPL10-AS1
812,B cell,OXCT1
813,B cell,P2RX5
814,B cell,P2RX5
815,B cell,P2RX5-TAX1BP3
816,B cell,PARP1
817,B cell,PARP1
818,B cell,PARP14
819,B cell,PARP15
820,B cell,PAWR
821,B cell,PAWR
822,B cell,PAX5
823,B cell,PAX5
824,B cell,PAX5
825,B cell,PAX5
826,B cell,PAX5
827,B cell,PCDH9
828,B cell,PCDH9
829,B cell,PCMTD1
830,B cell,PDLIM1
831,B cell,PDLIM1
832,B cell,PEG10
833,B cell,PFN2
834,B cell,PGM3
835,B cell,PHACTR1
836,B cell,PHACTR1
837,B cell,PHGDH
838,B cell,PIGR
839,B cell,PIM3
840,B cell,PIP5K1B
841,B cell,PKHD1L1
842,B cell,PKHD1L1
843,B cell,PKIG
844,B cell,PKIG
845,B cell,PLAC8
846,B cell,PLEKHF2
847,B cell,PLEKHF2
848,B cell,PLEKHG1
849,B cell,PLEKHG7
850,B cell,PLEKHG7
851,B cell,PLIN5
852,B cell,PLP2
853,B cell,PLPP5
854,B cell,PLPP5
855,B cell,PMAIP1
856,B cell,PNISR
857,B cell,PNOC
858,B cell,PNOC
859,B cell,POU2AF1
860,B cell,POU2AF1
861,B cell,POU2F2
862,B cell,POU2F2
863,B cell,PPM1K
864,B cell,PPM1K
865,B cell,PRCC
866,B cell,PRCD
867,B cell,PRDM2
868,B cell,PRDM2
869,B cell,PRDM4
870,B cell,PRELID3B
871,B cell,PRKCB
872,B cell,PRMT1
873,B cell,PRODH2
874,B cell,PRXL2A
875,B cell,PSENEN
876,B cell,PTGES2
877,B cell,PTOV1
878,B cell,PTPN6
879,B cell,PTPRC
880,B cell,PTPRC
881,B cell,PTPRC
882,B cell,PTPRC
883,B cell,PTPRC
884,B cell,PTPRK
885,B cell,PTPRK
886,B cell,PXK
887,B cell,PYCR1
888,B cell,QPRT
889,B cell,QRSL1
890,B cell,QRSL1
891,B cell,QTRT1
892,B cell,R3HDM4
893,B cell,RAB30
894,B cell,RAB30
895,B cell,RAB3GAP1
896,B cell,RABEP1
897,B cell,RABEP2
898,B cell,RAD17
899,B cell,RAD50
900,B cell,RALGPS2
901,B cell,RALGPS2
902,B cell,RAPGEF5
903,B cell,RASGRP2
904,B cell,RASGRP3
905,B cell,RASGRP3
906,B cell,RASSF6
907,B cell,RASSF6
908,B cell,RB1
909,B cell,RBBP7
