group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,RPL21P75,17.590546,2.1137145,2.910578314259973e-69,7.071695323795051e-68,0.3430206957287539,0.12266615688523545
0,ALDH1A1,17.573086,3.680723,3.960287642984764e-69,9.581822646995388e-68,0.2567151034786438,0.03256228891862614
0,SULF1,17.308086,2.4520903,4.087723890750244e-67,9.667446081850066e-66,0.29810656098634963,0.08691773402153827
0,OAS2,17.293762,3.2131631,5.241756594248725e-67,1.234618021067391e-65,0.25935711140466755,0.038552220735359716
0,MXRA5,17.255386,2.6753957,1.0193705289766818e-66,2.39365604090805e-65,0.28225451343020697,0.0676097623144077
0,ENSG00000288257,17.205385,2.266716,2.4196053087435066e-66,5.6415136492257784e-65,0.31616028181417877,0.11718600649971325
0,TENT5A,17.178865,2.0859823,3.823215532255244e-66,8.878313375707505e-65,0.3289299867899604,0.13024915567450457
0,GULP1,16.211714,2.1638286,4.1677634718344495e-59,8.575275403402208e-58,0.3047115808014091,0.1167399477474033
0,WFDC21P,15.867394,2.0031185,1.0657459261645772e-56,2.122855635341269e-55,0.31660061646851606,0.13528324730771682
0,CA8,15.811222,3.0843072,2.6036784979737723e-56,5.128780509307927e-55,0.24570673712021135,0.04696361435034729
0,ZFP36,15.439144,2.2806425,8.927697532766455e-54,1.6853217254256675e-52,0.2809335094671951,0.09768686675587841
0,NPNT,15.400551,2.8163168,1.6228099408516477e-53,3.0509883232968404e-52,0.24702774108322326,0.05454661313961639
0,OAS3,15.360604,2.4261832,3.0075662899619207e-53,5.63150945671476e-52,0.2646411272567151,0.07512903842477538
0,HERC5,15.114981,2.344067,1.2900854642980475e-51,2.341611526949779e-50,0.25979744605900484,0.07136940036959154
0,COX8C,14.469111,2.9392538,1.8991066489860928e-47,3.1913278713798297e-46,0.22457067371202113,0.04046390110240235
0,ENSG00000277018,14.469111,2.9392538,1.8991066489860928e-47,3.1913278713798297e-46,0.22457067371202113,0.04046390110240235
0,ACAN,13.626179,3.3213036,2.7985379982586924e-42,4.273828089079005e-41,0.2025539409951563,0.02822914675332951
0,EPHX1,13.30902,2.164041,2.0515375307279236e-40,3.04449750706483e-39,0.24878907970057243,0.09029503600331358
0,USP18,13.230132,2.533587,5.8783762366243466e-40,8.618385870776787e-39,0.22060766182298547,0.0542917224240107
0,GAPDHS,13.1656,2.920344,1.384332446593377e-39,2.0079338048328042e-38,0.2038749449581682,0.03555725482699293
0,RSAD2,12.647883,3.014993,1.1492939414558181e-36,1.563933204433341e-35,0.1906649053280493,0.02765564264321672
0,CRIP1,12.5677395,2.090791,3.1767612434240944e-36,4.292528964360066e-35,0.23778071334214002,0.08379532275536863
0,TMEM100,12.52396,3.4794638,5.5210268924124104e-36,7.399585114621877e-35,0.18494055482166447,0.024851844771554197
0,ENSG00000262243,12.428203,2.6475413,1.837180861760092e-35,2.4424569040177614e-34,0.20079260237780713,0.04212069075383929
0,ENSG00000257341,12.425839,2.0980065,1.8923035510500237e-35,2.5128486121012555e-34,0.23469837076177896,0.08239342381953738
0,CES1,12.396924,2.6570508,2.7154928922239687e-35,3.5935955766166677e-34,0.19991193306913255,0.041610909322627926
0,CMPK2,12.366803,3.0323455,3.9524233487072135e-35,5.200722886972031e-34,0.18758256274768825,0.028547760147836616
0,SMIM1,12.31088,2.1931078,7.915588674564274e-35,1.0350740911968426e-33,0.23029502421840597,0.08258459185624163
0,GMPR,12.232853,2.7445734,2.075199045251927e-34,2.6847451925862834e-33,0.19771025979744605,0.0436500350474734
0,GSTM2,12.010482,2.2689452,3.130163953489452e-33,3.9393011061725097e-32,0.22280933509467196,0.07735933218632511
0,RPL9P7,11.75605,2.8392248,6.573838937478361e-32,7.952624214103403e-31,0.1919859092910612,0.041164850570317976
0,ENSG00000288243,11.752959,2.0319135,6.818855697494372e-32,8.240401660371599e-31,0.22721268163804492,0.0864079525903269
0,HSD17B1,11.714455,2.5110958,1.074809826223921e-31,1.2894369597471402e-30,0.19638925583443417,0.04893901739629134
0,EPB41L4A,11.637517,2.4356003,2.656379325934427e-31,3.1492201490528922e-30,0.20299427564949363,0.059262091378321544
0,CP,11.609898,2.2783852,3.6705334677792945e-31,4.33595840012824e-30,0.21840598855129897,0.07825144969094501
0,ENSG00000244313,11.478699,2.2686815,1.688009575287506e-30,1.956025538946495e-29,0.2043152796125055,0.056713184222264706
0,BCO2,11.282827,2.8177896,1.5953439325184632e-29,1.8007824574876214e-28,0.1831792162043153,0.0412285732492194
0,MYPN,11.251099,2.4130292,2.287261736747396e-29,2.5717503498435685e-28,0.1955085865257596,0.055629898680940544
0,PLCD3,11.208897,2.1265175,3.687622912469568e-29,4.1262089595894345e-28,0.21356230735358872,0.07895239915886064
0,NR1H4,11.184856,3.7086155,4.836902032295057e-29,5.396497265002877e-28,0.16028181417877588,0.01624928311986236
0,SEMA3B,11.108647,2.0194364,1.1387089017517185e-28,1.2595025315402206e-27,0.2162043152796125,0.08239342381953738
0,RNF212,10.8860445,2.1382053,1.3434898520499401e-27,1.4418335588233124e-26,0.2038749449581682,0.07054100554387306
0,PCOLCE,10.877711,2.4906437,1.4721325567028145e-27,1.5791594640285623e-26,0.18802289740202555,0.052889823488179444
0,RPL17P6,10.877261,2.076952,1.4794202993270778e-27,1.5862406234919472e-26,0.2051959489211801,0.06608041802077359
0,IGF2BP1,10.875217,2.3351624,1.5129476977139404e-27,1.6214364333663408e-26,0.20035226772346984,0.06741859427770343
0,CTCFL,10.725113,2.6575625,7.759248641262146e-27,8.149327232045598e-26,0.17305151915455746,0.03632192697380998
0,BOC,10.503492,3.0153472,8.324206160763993e-26,8.49929772649637e-25,0.16336415675913693,0.029822213725865035
0,GSTM1,10.480829,2.150719,1.0581234291657928e-25,1.0770484561367758e-24,0.20035226772346984,0.07315363537883132
0,KAZALD1,10.420388,2.764221,2.0013557987942303e-25,2.017597167842037e-24,0.1712901805372083,0.0403364557445995
0,ACTR3B,10.411701,2.034672,2.1926812813594293e-25,2.2085481119045762e-24,0.2025539409951563,0.07633976932390238
0,RPSAP19,10.35476,2.1872234,3.9818298849700063e-25,3.9880434036461625e-24,0.17349185380889476,0.038679666093162555
0,PDE3A,10.171476,2.2210946,2.65849401011371e-24,2.5842306519851654e-23,0.18538088947600176,0.059580704772828647
0,THRB,10.140495,2.3097703,3.652417914024853e-24,3.525178292458574e-23,0.18670189343901364,0.06340406550691391
0,TMEFF2,9.487294,3.3095841,2.3710897870265176e-21,2.110416048499026e-20,0.142668428005284,0.021219652074173197
0,CRABP2,9.320221,2.2082794,1.1609839380829424e-20,1.0065926781742765e-19,0.17173051519154559,0.056075957433250494
0,PPP1R1B,9.313063,3.41678,1.2419866966111451e-20,1.075612616637823e-19,0.13870541611624834,0.01937169438603199
0,ENSG00000272670,9.2958145,3.2120793,1.4608331816671277e-20,1.2623040948242577e-19,0.14046675473359754,0.02141082011087746
0,RNF182,9.24385,3.656047,2.3778335176573815e-20,2.0356510284917176e-19,0.1338617349185381,0.014974829541833939
0,DOC2B,9.225899,3.4198668,2.811924149012561e-20,2.401934173274833e-19,0.13738441215323646,0.019244249028229146
0,ZNF483,9.067545,2.2394223,1.2172902667425994e-19,1.0157713580120803e-18,0.1682078379568472,0.05664946154336328
0,CYP26B1,9.06462,2.1037307,1.2503900610416853e-19,1.0430149007375155e-18,0.1682078379568472,0.05454661313961639
0,TCN2,8.994129,3.0245345,2.381131083819023e-19,1.971279642519611e-18,0.14046675473359754,0.025871407633976932
0,KRT223P,8.992386,3.3531373,2.4191976139561277e-19,2.0020766500025173e-18,0.13210039630118892,0.01618556044096094
0,TIMP4,8.876316,2.0188081,6.911120502641148e-19,5.616895896377994e-18,0.17481285777190664,0.06684509016759065
0,PLA2R1,8.874884,2.0112731,7.000685183355528e-19,5.6876874770257675e-18,0.17525319242624396,0.06735487159880202
0,DDX60,8.727657,2.2814226,2.6000178147827823e-18,2.0744479153443016e-17,0.15367679436371642,0.043586312368571974
0,OASL,8.616635,2.0643728,6.895032797723388e-18,5.42816449145474e-17,0.14663143989431968,0.03587586822150003
0,TNXB,8.562991,3.4504225,1.0997634237373598e-17,8.593552136921014e-17,0.12945838837516513,0.019881475817243355
0,KCNJ2,8.4742,3.6005824,2.3670075196178928e-17,1.8273329685362859e-16,0.12285336856010567,0.013700375963805519
0,AADACP1,8.466884,2.5994303,2.5204620945955207e-17,1.9445007398238432e-16,0.13958608542492293,0.031861339450710506
0,BHMT2,8.316311,2.6205528,9.074343679022003e-17,6.856500492069405e-16,0.13782474680757376,0.032307398203020456
0,EML1,8.199943,2.9090843,2.4050248277997325e-16,1.7868329154707596e-15,0.13033905768383972,0.02574396227617409
0,CASP1,8.174363,2.0793283,2.9743371752798756e-16,2.2020196979178725e-15,0.154557463672391,0.052443764735869494
0,ENSG00000233323,8.151249,3.4345975,3.6018543683844313e-16,2.6614789586149876e-15,0.12373403786878027,0.01943541706493341
0,ENSG00000206258,8.144937,3.399684,3.794805680543716e-16,2.800472055402207e-15,0.12373403786878027,0.01949913974383483
0,MAP1A,8.113904,2.1166997,4.901871973381943e-16,3.600211500857062e-15,0.15015411712901805,0.04849295864398139
0,ENSG00000231608,8.058743,3.2573395,7.708303954124189e-16,5.618551140819985e-15,0.12329370321444298,0.020136366532849042
0,ST8SIA6,7.842244,3.8339632,4.425640815130834e-15,3.109116955743784e-14,0.11272567151034786,0.011852418275664309
0,ENSG00000229353,7.757977,3.3852072,8.629470945282882e-15,5.978787276213082e-14,0.11845002201673271,0.019180526349327726
0,HSPB6,7.646609,2.2938535,2.0634916302318186e-14,1.4048037008879317e-13,0.13738441215323646,0.04141974128592366
0,TCIM,7.545165,2.383824,4.517152853936468e-14,3.035873584731124e-13,0.13210039630118892,0.03683170840502135
0,ENSG00000255836,7.46882,2.0208175,8.091693085516083e-14,5.361819914939335e-13,0.14971378247468076,0.05766902440578602
0,ADAMTS7,7.343724,2.119855,2.077317645012283e-13,1.351309164010524e-12,0.14002642007926025,0.04906646275409418
0,NPR1,7.3135724,2.7757747,2.601319873161907e-13,1.6841159145216877e-12,0.11800968736239542,0.024788122092652774
0,RGN,7.1804795,3.2798975,6.946729260992666e-13,4.401182514518687e-12,0.1083223249669749,0.01618556044096094
0,SAMD5,7.0850124,2.7989283,1.390317172137263e-12,8.696445202870494e-12,0.11272567151034786,0.02198432422099025
0,MAGEA4,7.001849,3.4820235,2.5260576714804145e-12,1.5606173411023118e-11,0.10215763980625275,0.011852418275664309
0,PODN,6.814545,3.4498591,9.45624197632479e-12,5.678168583808747e-11,0.10039630118890357,0.012680813101382781
0,ENSG00000236236,6.7041206,3.2377348,2.0262300167430018e-11,1.1992333700528637e-10,0.10391897842360194,0.018097240808003567
0,HGF,6.571911,3.8189178,4.967360143604583e-11,2.882366235010736e-10,0.09467195068251871,0.009940737908621678
0,ADRA2C,6.438604,3.5447907,1.2057754234924271e-10,6.828589935101966e-10,0.09423161602818142,0.01127891416555152
0,RBPMS2,6.364309,2.303529,1.961708689666549e-10,1.094332230406453e-09,0.11492734478203434,0.03472886000127445
0,ENSG00000278843,6.2948804,3.2429721,3.076370282943296e-10,1.7001342204661034e-09,0.09731395860854249,0.016631619193270886
0,CLXN,6.2240577,2.1119063,4.844587454271044e-10,2.6431886120044092e-09,0.11756935270805813,0.03931689288217677
0,ENSG00000177359,6.2147517,2.8073864,5.140579738067109e-10,2.7974148711205515e-09,0.10039630118890357,0.02077359332186325
0,TMT1A,6.17836,2.2775939,6.47708807033737e-10,3.4991722458081666e-09,0.11272567151034786,0.034792582680175876
0,FOLR1,6.1459556,2.6037104,7.948363031047768e-10,4.2631122608029185e-09,0.10391897842360194,0.025871407633976932
0,CCDC74B,5.9489384,2.2136059,2.698868512971765e-09,1.404505762628955e-08,0.11008366358432409,0.034792582680175876
0,HERC6,5.930199,2.274915,3.0256716879779564e-09,1.5699791157066846e-08,0.10523998238661382,0.029949659083667878
0,ENSG00000273936,5.9145446,2.8069866,3.327949536699852e-09,1.7221859349381138e-08,0.09467195068251871,0.0187981902759192
0,PDE1A,5.8506746,3.444353,4.8958258652291846e-09,2.507157633909254e-08,0.08674592690444738,0.011406359523354361
0,TNFRSF14,5.8134775,2.8298635,6.11881412887692e-09,3.115498441203837e-08,0.09291061206516953,0.018352131523609254
0,MYLK3,5.785294,2.3889043,7.238559136368974e-09,3.670268760257659e-08,0.10523998238661382,0.03256228891862614
0,KCNN4,5.7827916,2.025612,7.347099938311358e-09,3.72366947081865e-08,0.11404667547335975,0.04192952271713503
0,ENSG00000273992,5.7639894,2.245692,8.21484383837332e-09,4.158899687323706e-08,0.10744165565830031,0.03472886000127445
0,OXTR,5.6535974,2.6509368,1.5712397944729962e-08,7.809220626176178e-08,0.09731395860854249,0.025552794239469826
0,CD14,5.600906,2.7295756,2.1323461197327012e-08,1.050085026482178e-07,0.09114927344782034,0.01943541706493341
